client_id,code,chi_name,name,chi_address,address,phone_no
4,GCP,City Plaza,City Plaza,香港太古城中心二期地下034號舖,Shop 034 G/F. Phase II City Plaza Quarry Bay Hong Kong.,29153360
4,GPP,Pacific Place,Pacific Place,香港金鐘太古廣場 1 樓124號舖,Shop 124 Level 1 Phase II Pacific Place 88 Queensway Hong Kong.,29189088
4,GMC2,Metro City Plaza 2,Metro City Plaza 2,新界將軍澳新都城中心二期 1 樓1014A 1014B 及1016 號舖,Shop 1014A 1014B &-1016 Level One Metro City Phase II Tseung Kwan O N.T.,34099820
4,GMB,Mega Box,Mega Box,九龍九龍灣宏照道企業廣場5期 8 樓 1 號舖,Unit 1 Level 8 Megabox 38 Wang Chiu Road Kowloon Bay Kowloon.,26295102
4,GOT,Ocean Terminal,Ocean Terminal,九龍尖沙咀海運大廈 2階 OT244-247 號舖,Shop OT244-247 Level 2 Ocean Terminal Harbour City Tsim Sha Tsui Kowloon.,21159930 
4,GFW,Festival Walk,Festival Walk,九龍九龍塘 又一城 L1-02 號舖,Shop L1-02 Festival Walk Kowloon Tong Kowloon. ,22657708 
4,GMOK,MOKO,MOKO,九龍旺角太子道西193號新世紀廣場4 樓 401 號舖 ,Shop 401 Level 4 Moko 193 Prince Edward Road West Mongkok Kowloon.  ,2629099
4,GPRO,Pro Shop by GigaSports,Pro Shop by GigaSports,新界元朗朗日路8-9號及元龍街9號形點 2樓 A250-A252 號舖,Shop A250-A252 Level 2 YOHO MALL 8-9 Long Yat Road & 9 Yuen Lung Street Yuen Long N.T.,29157883
4,GDP2,D∙PARK,D∙PARK,新界荃灣青山公路荃灣段398號D∙PARK愉景新城2樓39-40舖,Shop 39-40 Level 2D∙PARK 398 Castle Peak Road Tsuen Wan N.T.,29400040
4,NFAW,Fashion Walk - Nike,Fashion Walk - Nike,香港銅鑼灣Fashion Walk 加寧街 2 號,2 Cleveland Street Fashion Walk Causeway Bay Hong Kong,21746928
4,GYOH,YOHO MALL,YOHO MALL,新界元朗朗日路8-9號及元龍街9號形點 2樓 A260-A261 號舖,Shop A260-A261 Level 2 YOHO MALL 8-9 Long Yat Road & 9 Yuen Lung Street Yuen Long N.T.,28735773
4,GDB,Discovery Bay,Discovery Bay,愉景灣愉景廣場 C 座 1樓 133 號舖,Shop No. 133 1/F Block C DB Plaza Discovery Bay,23201238
4,GTMP,Tuen Mun Town Plaza,Tuen Mun Town Plaza,新界屯門屯門市廣場一期 1樓1201-1208 號舖,Shop 1201-1208 1/F. Tuen Mun Town Plaza Tuen Mun. N.T.,24730228
4,NST,Shun Tak - Nike,Shun Tak - Nike,香港中環干諾道中200號信德中心商場2樓264,Shop 264 2/F Shun Tak Centre 200 Connaught Road Central Sheung Wan ,25473680
4,GLM,Langham Place,Langham Place,九龍旺角朗豪坊7樓01 17-20 號舖,Shop No. 01 17-20 Level 7 Langham Place 8 Argyle Street Mongkok Kowloon.,24596918
4,CYLP, Yuen Long Plaza , Yuen Long Plaza ,新界元朗元朗廣場G/F. 35-36 號舖, Shop No.35-36 G/F. Yuen Long Plaza Castle Peak Road Yuen Long. N.T. , 31470938 
4,CMP,Metro Plaza,Metro Plaza,新界葵芳新都會廣場3樓312-315號舖,Shop 312 -315 Level 3 Metro Plaza Kwai Fong N.T.,24288284
4,CTQ,Times Square,Times Square,香港銅鑼灣時代廣場6樓607-608號舖,Shop 607-608 Level 6 Times Square Causeway Bay Hong Kong.,25063928
4,CLM,Langham Place,Langham Place,九龍旺角朗豪坊6樓02-05號舖,Shop No. 02-05 Level 6 Langham Place 8 Argyle Street Mongkok Kowloon.,35144132
4,CAPM,APM,APM,0,Shop Nos. L1-12 Level 1 APM Millennium City 5 418 Kwun Tong Road Kowloon.,31481182
4,CNT,New Town Plaza,New Town Plaza,新界沙田新城市廣場一期5樓513號舖,Shop 513 Level 5 New Town Plaza Phase 1 Shatin N.T.,26982938
4,CNJ,New Jade Arcade,New Jade Arcade,香港柴灣新翠商場 1樓129及132號舖,Shop 129-132 Level One New Jade Shoppping Arcade Chai Wan Hong Kong.,28989325
4,CCP,City Plaza,City Plaza,香港太古城中心一期4樓404~405號舖,Shop 404~405 4/F. City Plaza 1 18 Taikoo Shing Road Island East Hong Kong.,29070186
4,CMB,Mega Box,Mega Box,九龍九龍灣宏照道企業廣場5期8樓1號舖 (Gigasports 舖內),Unit 1 Level 8 Megabox 38 Wang Chiu Road Kowloon Bay Kowloon.,23590178
4,CYA,Yata Shatin,Yata Shatin,新界沙田新城市廣場三期2樓一田百貨專柜2-065,Counter No. 2-065 Level 2 Yata Dept Store New Town Plaza III Shatin N.T.,26870025
4,CMC,Metro City Plaza,Metro City Plaza,新界將軍澳新都城中心二期 1樓1044及1045號舖,Shop 1044-1045 Level One Metro City Phase II Tseung Kwan O N.T.,31944666
4,CFW,Festival Walk,Festival Walk,九龍九龍塘又一城L1-02號舖 (Gigasports 舖內),Shop L1-02 Festival Walk Kowloon Tong Kowloon. ,22657168
4,CPH,Plaza Hollywood,Plaza Hollywood,九龍鑽石山荷里活廣場2樓284號舖,Shop 284 Level 2 Plaza Hollywood Diamond Hill Kowloon. ,29554268
4,VCW,City Walk - Converse,City Walk - Converse,新界荃灣荃新天地UG樓 65號舖,Shop No. UG65 UG/F. Citywalk Tsuen Wan N.T.,29410077
4,CCW,City Walk,City Walk,新界荃灣荃新天地UG樓 77號舖,Shop No. UG77 UG/F. Citywalk Tsuen Wan N.T.,29410398
4,CTMP,Tuen Mun Town Plaza,Tuen Mun Town Plaza,新界屯門屯門市廣場一期3樓3216號舖,Shop 3216 Level Three Tuen Mun Town Plaza Tuen Mun. N.T.,24049639
4,CTP,Tai Po Mega Mall,Tai Po Mega Mall,新界大埔大埔超級城B區2樓279號舖,Shop 279 Level 2 Tai Po Mega Mall Zone B Tai Po N.T.,26622621
4,CCHK,China HK City,China HK City,九龍尖沙咀廣東道33號中港城高層地下32B 號舖,Shop 32B Upper Ground Floor China Hong Kong City 33 Canton Road TST Kowloon.,23020631
4,CMT2,Metropolis Plaza,Metropolis Plaza,新界上水新都廣場 2樓 245-47號舖,Shop 245-47 Level 2 Metropolis Plaza  Sheung Shui N.T.,26726837
4,CMOK,Moko,Moko,九龍旺角太子道西193號新世紀廣場  2樓259 號舖 ,Shop 259 Level 2 Moko 193 Prince Edward Road West Mongkok Kowloon.  ,27905991
4,CTWP2,Tsuen Wan Plaza,Tsuen Wan Plaza,新界荃灣荃灣廣場3樓301-302號舖,Shop 301-302 Tsuen Wan Plaza 4-30 Tai Pa Street Tsuen Wan. N.T.,24055068
4,CUP,Uptown Plaza,Uptown Plaza,新界大埔南運路9 號新達廣場 1樓 038 號舖,Shop 038 Level 1 Uptown Plaza 9 Nam Wan Road Tai Po N.T.,26538029
4,THC,Harbour City - Toms,Harbour City - Toms,九龍尖沙咀海港城港威商場 3樓3238 號舖,Shop 3238 Level 3 Gateway Arcade Harbour City TST Kowloon.,21648102
4,CYOH,YOHO MALL,YOHO MALL,新界元朗朗日路8-9號及元龍街9號形點 1樓 A143 號舖,Shop A143 Level 1 YOHO MALL 8-9 Long Yat Road & 9 Yuen Lung Street Yuen Long N.T.,23601685
4,CPOC,PopCorn,PopCorn,新界將軍澳唐賢街9 號 PopCorn  1樓 F49 號舖,Shop F49 1/F. PopCorn 9 Tong Yin Street Tseung Kwan O N.T.,27598090
4,CSC2,Sunshine City 2,Sunshine City 2,新界馬鞍山新港城商場 3樓 3014 號舖,Shop 3014 Level 3 Sunshine City Plaza Ma On Shan. N.T.,26317380
4,OC2,Olympian City 2,Olympian City 2, 九龍奧海城第二期高層UG33號舖,Shop UG33 Upper Ground Floor Olympian City 2,25632650
4,VVEN2,Venetian 2 - Converse,Venetian 2 - Converse,澳門威尼斯人度假村酒店 大運河街購物中心  852 號舖,Shop No. 852 Grand Canal Street Shoppes Grand Canal The Venetian® Macao-Resort-Hotel,
4,CVEN,Venetian,Venetian,澳門威尼斯人度假村酒店大運河街購物中心 3樓 812 號舖,Shop No. 812 3/F. Grand Canal Street Shoppes Grand Canal The Venetian® Macao-Resort-Hotel,
4,WCG,Citygate,Citygate,新界大嶼山東涌東薈城10樓 1003號,Shop 1003 10th Avenue City Gate Tung Chung Lantou Island.,21091248
