client_id,code,name,chi_name,phone_no,address,chi_address
3,HGW,Hing Wah Shopping Centre,興華村,25159775 ,Shop No. 119-120 1/F Hing Wah Plaza Chai Wan Hong Kong,香港柴灣興華廣場119-120號舖
3,NJS,New Jade Shopping Arcade,新翠商埸,25877028,Shop No. 113 Level 1 New Jade Shopping Arcade Chai Wan H.K.,香港柴湾柴湾道233號新翠商埸一楼113號舖
3,LWB,Lai Wan Building,麗灣大厦,25608960 ,Shop F on G/F & Cockloft Lai Wan Building Nos.33 37-55 Shau Kei Wan Road  No.1 Tai Hong StreetH.K.,香港太康街1號筲箕湾道3337-55號麗灣大厦地下F舖及閣樓
3,CPZ,City Plaza,太古城中心,29159055 ,Shop No.124 First Floor Cityplaza 18 TaiKoo Shing Rd Taikoo Shing Island East HK,香港港島太古城太古城道18号太古城中心一楼124號舖
3,SKW,Shau Kei Wan,筲箕灣,28853268 ,Shop D & E G/F. King Fai Building 104 Shau Kei Wan Main Street Hong Kong,香港筲箕灣東大街102-104號景輝大廈地下D及E號
3,SSW,Siu Sai Wan Shopping Centre,小西灣商場,22944575 ,Shop No. 108 First Floor Siu Sai Wan Shopping Centre Hong Kong,香港柴灣小西灣商場一樓108號舖
3,ST,Stanley,赤柱,28130213,Shop A3&5 G/F & 1/F Stanley New Street Stanley Hong Kong,香港赤柱新街1樓及地下A3&5舖
3,QBR,Quarry Bay,鰂魚涌,25627431 ,Portion of Lower Ground Floor Fok Cheong Building 1032-1044 King’s Road Quarry Bay Hong Kong,香港鰂魚涌英皇道1032-1044號福昌樓高層地下部份舖位
3,KOH,Kornhill,康山,29676555,Portion of Mezzanine Floor Kornhill Plaza (North) 1-2 Kornhill Road Quarry Bay Hong Kong,香港鰂魚涌康山道1-2號康怡廣場(北)閣樓部份
3,JAR,Java Road,渣華道,25650311 ,Shop 3 G/F The Java No. 98 Java Road North Point Hong Kong,香港北角渣華道98號TheJava地下3號舖
3,PVD,Provident Centre,和富中心,25975667 ,Shop B20 Basement Commercial Podium of Provident Ctr. 21-53 Wharf Road North Point HK,北角和富中心21-53號和富中心家居庭地庫B20舖
3,CHI,Chi Fu,置富,28755494 ,Shop Nos. 403 & 405A 4/F Chi Fu Landmark,置富南區廣場403及405A號舖
3,ABD,Aberdeen Centre,香港仔中心,28148319 ,Flat/Rm 6C Hoi Chu Court Aberdeen Centre Aberdeen Hong Kong,香港仔中心廣場海珠閣地下6C
3,SHN,South Horizons,海怡半島,28710782 ,Shop112 112A & 113 Rear Portion 1/F South Horizon Marina Square West Comm.Ctr. Apleichau HK,香港仔鴨利洲海怡半島海怡廣場一樓112112A及113號舖
3,NTB,Nam Tin Building,南天大厦,25086067 ,Part of Ground Floor of Nam Tin Building 275 King's Road Hong Kong,香港北角英皇道275號南天大厦地下部分舖
3,HYR,Heung Yip Road,香葉道,25670388 ,Shop G08 G/F One Island South 2 Heung Yip Road Wong Chuk Hang   ,黃竹坑香葉道2號OneIslandSouth地下G08號舖
3,KGR,No. 375 King's Road,英皇道375號,25120123,G/F 375 King's Road North Point Hong Kong,香港北角英皇道375號地下
3,LT,Lei Tung Estate,利東村,28713194 ,Shop 2051/FCommercial CentreLei Tung EstateHong Kong,香港仔鴨利洲利東村利東商場205室
3,ISP,Island Place,港運城,29604647 ,Shop 111 1/F Island Place North Point Hong Kong,香港北角英皇道500號港運城商場一字樓111號
3,VAL,Happy Valley,跑馬地,25731336 ,Shop 19 on G/F Hang Fung Mansion 17-19 Wong Nai Chung Road Happy Valley HK,香港跑馬地黃泥涌道17-19號恆豐大廈地下19號舖
3,TIH,Tin Hau,天后,25783827 ,Shop C C1 & D G/F. Kiu Hing Mansion  14 King's Road   North Point Hong Kong,北角英皇道十四號僑興大夏地下CC1&D
3,WIN,Windsor House,皇室堡,25045166 ,Shop 73 75 & 76 on Basement Windsor House 311 Gloucester Road Causeway Bay HK,香港銅鑼灣告士打道311號皇室堡地庫7375及76號舖
3,HES,Hennessy Road,軒尼詩道,28022719 ,G/F & M/F205-207 Hennessy RoadWanchaiHong Kong,香港軒尼詩道205-207號廣德大廈地下及閣樓
3,CLI,CLI Building ,中國人壽保險大廈,25751739,Shop G1 G/F CLI Building 313-317B Hennessy Road Wanchai Hong Kong,香港灣仔軒尼詩道313-317B號中國人壽保險大廈地下G1舖
3,KSH,Kwong Sang Hong,廣生行大廈,28936200,Shop A2 G/F Kwong Sang Hong Building (Block A) No. 298 Hennessy Road Wan Chai Hong Kong,香港灣仔軒尼詩道298號廣生行大廈A座地下A2號舖
3,TLW,Tung Lo Wan Road,銅鑼灣道,28057052,Portion of Portion No. 2 of Shop A G/F. Cathay Mansion 3-5 Tung Lo Wan Road Causeway Bay HK,香港銅鑼灣道3-5號國泰大廈A座2號舖
3,WCB,The World Trade Centre,BeautiqWatson,25099973,Shop No. P211A on Podium 2 of  The World Trade Centre 280 Gloucester Road Causeway Bay,銅鑼灣告士打道280號世貿中心2樓P211A號舖
3,CBP,Causeway Bay Plaza 1,銅鑼灣廣場1期,25770081 ,Units 101 102 & 103 on 1st Floor Causway Bay Plaza I No. 489 Hennessy Road Hong Kong,銅鑼灣軒尼詩道489號銅鑼灣廣場1期1樓101-103號舖
3,CRW,Canal Road West,堅拿道西,25238390 ,G/F No. 23 Canal Road West Wan Chai Hong Kong,香港灣仔堅拿道西23號地下
3,TS3,Times Square ,時代廣場,25063229 ,Shop 905A 9/F Times Square Causeway Bay Hong Kong,香港銅鑼灣時代廣場9樓905A號舖
3,STH,Star House,星光行,27302803,Shop 1 & 2 G/F Star House 3 Salisbury Road Tsimshatsui Kowloon,九龍尖沙咀梳士巴利道星光行地下1至2號
